,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,63.0,63.0,,,1,1.0,1.0,,,1
1,99.15789473684211,100.0,13.473684210526313,3.670651741928988,19,0.05263157894736842,0.0,0.05263157894736842,0.22941573387056177,19
2,100.0,100.0,,,1,0.0,0.0,,,1
3,100.0,100.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2
4,100.0,100.0,,,1,0.0,0.0,,,1
5,54.34375,53.0,222.23286290322588,14.907476745017108,32,1.875,2.0,0.6290322580645161,0.7931155389125321,32
6,100.0,100.0,,,1,0.0,0.0,,,1
7,100.0,100.0,,,1,0.0,0.0,,,1
8,78.0,78.0,,,1,1.0,1.0,,,1
9,100.0,100.0,,,1,0.0,0.0,,,1
