,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,100.0,100.0,,,1,0.0,0.0,,,1
1,63.0,63.0,,,1,1.0,1.0,,,1
2,54.0,54.0,,,1,2.0,2.0,,,1
3,59.4,53.5,202.04444444444445,14.214233867656901,10,1.7,2.0,0.4555555555555555,0.6749485577105528,10
4,100.0,100.0,,,1,0.0,0.0,,,1
5,100.0,100.0,,,1,0.0,0.0,,,1
6,100.0,100.0,,,1,0.0,0.0,,,1
7,57.0,57.0,,,1,2.0,2.0,,,1
8,100.0,100.0,,,1,0.0,0.0,,,1
9,78.0,78.0,,,1,1.0,1.0,,,1
10,100.0,100.0,,,1,0.0,0.0,,,1
11,100.0,100.0,,,1,0.0,0.0,,,1
12,64.0,64.0,,,1,1.0,1.0,,,1
13,100.0,100.0,,,1,0.0,0.0,,,1
14,100.0,100.0,,,1,0.0,0.0,,,1
15,59.0,59.0,,,1,2.0,2.0,,,1
16,54.0,54.0,,,1,1.0,1.0,,,1
17,65.0,65.0,,,1,1.0,1.0,,,1
18,100.0,100.0,,,1,0.0,0.0,,,1
19,100.0,100.0,,,1,0.0,0.0,,,1
20,100.0,100.0,,,1,0.0,0.0,,,1
21,100.0,100.0,,,1,0.0,0.0,,,1
22,100.0,100.0,,,1,0.0,0.0,,,1
23,50.333333333333336,46.5,398.060606060606,19.951456239097084,12,2.1666666666666665,2.0,0.8787878787878789,0.9374368665610922,12
24,63.0,63.0,,,1,1.0,1.0,,,1
25,100.0,100.0,,,1,0.0,0.0,,,1
26,100.0,100.0,,,1,0.0,0.0,,,1
27,100.0,100.0,,,1,0.0,0.0,,,1
28,100.0,100.0,,,1,0.0,0.0,,,1
29,100.0,100.0,,,1,0.0,0.0,,,1
30,100.0,100.0,,,1,0.0,0.0,,,1
31,100.0,100.0,,,1,0.0,0.0,,,1
32,100.0,100.0,,,1,0.0,0.0,,,1
33,100.0,100.0,,,1,0.0,0.0,,,1
34,100.0,100.0,,,1,0.0,0.0,,,1
35,40.0,40.0,,,1,2.0,2.0,,,1
36,53.0,53.0,,,1,2.0,2.0,,,1
37,41.0,41.0,,,1,3.0,3.0,,,1
38,100.0,100.0,,,1,0.0,0.0,,,1
39,75.0,75.0,,,1,1.0,1.0,,,1
