,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,100.0,100.0,,,1,0.0,0.0,,,1
1,40.0,40.0,,,1,3.0,3.0,,,1
2,100.0,100.0,,,1,0.0,0.0,,,1
3,16.0,16.0,,,1,3.0,3.0,,,1
4,100.0,100.0,,,1,0.0,0.0,,,1
5,100.0,100.0,,,1,0.0,0.0,,,1
6,67.0,67.0,,,1,1.0,1.0,,,1
7,57.0,57.0,,,1,2.0,2.0,,,1
8,100.0,100.0,,,1,0.0,0.0,,,1
9,100.0,100.0,,,1,0.0,0.0,,,1
10,65.0,65.0,,,1,1.0,1.0,,,1
11,78.0,78.0,,,1,1.0,1.0,,,1
12,100.0,100.0,,,1,0.0,0.0,,,1
13,100.0,100.0,,,1,0.0,0.0,,,1
14,100.0,100.0,,,1,0.0,0.0,,,1
15,100.0,100.0,,,1,0.0,0.0,,,1
16,100.0,100.0,,,1,0.0,0.0,,,1
17,100.0,100.0,,,1,0.0,0.0,,,1
18,100.0,100.0,,,1,0.0,0.0,,,1
19,100.0,100.0,,,1,0.0,0.0,,,1
20,54.0,54.0,,,1,1.0,1.0,,,1
21,53.0,53.0,,,1,2.0,2.0,,,1
22,100.0,100.0,,,1,0.0,0.0,,,1
23,100.0,100.0,,,1,0.0,0.0,,,1
24,100.0,100.0,,,1,0.0,0.0,,,1
25,100.0,100.0,,,1,0.0,0.0,,,1
26,100.0,100.0,,,1,0.0,0.0,,,1
27,63.0,63.0,,,1,1.0,1.0,,,1
28,75.0,75.0,,,1,1.0,1.0,,,1
29,100.0,100.0,,,1,0.0,0.0,,,1
30,40.0,40.0,,,1,2.0,2.0,,,1
31,100.0,100.0,,,1,0.0,0.0,,,1
32,49.0,49.0,,,1,2.0,2.0,,,1
33,100.0,100.0,,,1,0.0,0.0,,,1
34,46.0,46.0,,,1,2.0,2.0,,,1
35,100.0,100.0,,,1,0.0,0.0,,,1
36,100.0,100.0,,,1,0.0,0.0,,,1
37,100.0,100.0,,,1,0.0,0.0,,,1
38,100.0,100.0,,,1,0.0,0.0,,,1
39,54.0,54.0,,,1,2.0,2.0,,,1
40,41.0,41.0,,,1,3.0,3.0,,,1
41,63.0,63.0,,,1,1.0,1.0,,,1
42,41.0,41.0,,,1,3.0,3.0,,,1
43,53.0,53.0,,,1,3.0,3.0,,,1
44,50.0,50.0,,,1,2.0,2.0,,,1
45,49.0,49.0,,,1,2.0,2.0,,,1
46,42.0,42.0,,,1,3.0,3.0,,,1
47,69.0,69.0,,,1,1.0,1.0,,,1
48,55.0,55.0,,,1,2.0,2.0,,,1
49,64.0,64.0,,,1,1.0,1.0,,,1
50,47.0,47.0,,,1,2.0,2.0,,,1
51,84.0,84.0,,,1,1.0,1.0,,,1
52,52.0,52.0,,,1,2.0,2.0,,,1
53,49.0,49.0,,,1,2.0,2.0,,,1
54,78.0,78.0,,,1,1.0,1.0,,,1
55,46.0,46.0,,,1,2.0,2.0,,,1
56,39.0,39.0,,,1,3.0,3.0,,,1
57,58.0,58.0,,,1,2.0,2.0,,,1
58,68.0,68.0,,,1,1.0,1.0,,,1
59,59.0,59.0,,,1,2.0,2.0,,,1
