,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,68.04761904761905,63.0,652.9476190476186,25.552839745273296,21,1.2380952380952381,1.0,1.1904761904761898,1.0910894511799616,21
1,74.08695652173913,75.0,569.1739130434784,23.857366012271314,23,1.0434782608695652,1.0,1.0434782608695652,1.0215078369104984,23
2,70.60714285714286,70.0,612.7658730158728,24.754108204818706,28,1.1785714285714286,1.0,1.1150793650793651,1.0559731838826993,28
3,69.32,59.0,747.5600000000001,27.34154348240055,25,1.28,1.0,1.4599999999999997,1.208304597359457,25
4,60.041666666666664,49.5,665.4329710144929,25.7959874983396,24,1.6666666666666667,2.0,1.36231884057971,1.1671841502435294,24
5,73.30434782608695,67.0,545.7667984189725,23.361652304984176,23,1.1304347826086956,1.0,1.209486166007906,1.0997664142934653,23
6,70.46153846153847,64.5,610.0984615384617,24.700171285609777,26,1.2692307692307692,1.0,1.2446153846153847,1.115623316633076,26
7,74.96428571428571,66.5,559.665343915344,23.657247175344473,28,0.9642857142857143,1.0,0.9246031746031748,0.961562881252794,28
