,AHA,AHA,AHA,AHA,AHA,MACS,MACS,MACS,MACS,MACS
,mean,median,var,std,count,mean,median,var,std,count
cluster,,,,,,,,,,
0,92.0,100.0,383.99999999999994,19.595917942265423,6,0.3333333333333333,0.0,0.6666666666666667,0.816496580927726,6
1,80.3,100.0,652.2333333333331,25.53885928018973,10,0.8,0.0,1.0666666666666669,1.0327955589886446,10
2,73.5,66.0,451.3888888888889,21.245914639969936,10,1.1,1.0,0.9888888888888889,0.9944289260117533,10
3,67.75,53.5,733.3571428571429,27.08056762435276,8,1.375,2.0,1.410714285714286,1.1877349391654208,8
4,59.8,64.0,1059.2,32.545352970892786,5,1.6,1.0,1.8,1.3416407864998738,5
5,78.8,75.0,429.69999999999993,20.729206448873047,5,0.6,1.0,0.3,0.5477225575051661,5
6,74.75,75.0,850.2500000000001,29.159046623646667,4,1.0,1.0,1.3333333333333333,1.1547005383792515,4
7,70.28571428571429,68.0,562.2380952380954,23.711560371221786,7,1.4285714285714286,1.0,1.6190476190476193,1.2724180205607036,7
8,69.6,67.0,887.3000000000001,29.787581304966672,5,1.2,1.0,1.7,1.3038404810405297,5
