,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_averaging_method,param_init_algorithm,param_metric,param_n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,model_type,param_feature_selection,param_shape_descriptor_function
8,0.3368050575256348,0.0049550966259457,0.0022002220153808,0.0007481892532214,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,600,TimeSeriesKMeans,,
4,221.33252854347228,357.83760795989303,0.3101993560791015,0.0504781009419783,mean,kmeans++,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'dtw', 'n_clusters': 2}",1.0,0.9420383538030596,1.0,1.0,0.938259109311741,0.97605949262296,0.0293453592429478,1,0.9694965603502188,0.9544043258328974,0.9699334811529934,0.9551154525336968,0.9849205446201692,0.9667740728979952,0.0112749483871656,difference,600,TimeSeriesKMeans,,
5,38.99908862113953,2.7973335213045782,0.321799612045288,0.0129814551533165,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",1.0,0.939781446175308,1.0,1.0,0.938259109311741,0.9756081110974096,0.0298777194127508,1,0.984686372330566,0.9369297369297368,0.9849118179582896,0.9849205446201692,1.0,0.9782896943677524,0.0214975423469676,difference,600,TimeSeriesKMedoids,,
9,0.0742114067077636,0.016971217667156,0.001792573928833,0.0003981551038811,,forgy,euclidean,2.0,"{'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",1.0,0.939781446175308,1.0,1.0,0.9361471861471862,0.975185726464499,0.0304128762407834,1,0.9688892502845992,0.9845349421820008,0.96939056898612,0.9693526170798898,0.9847672123534192,0.975386918177206,0.0075665704704539,ai,600,TimeSeriesKMedoids,,
11,29.472990608215333,0.384811542838221,8.55380129814148,0.2458571992006447,,,,,{'shape_descriptor_function': 'raw'},0.939781446175308,1.0,1.0,0.9361471861471862,1.0,0.975185726464499,0.0304128762407834,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,600,ShapeDTW,,raw
0,0.0373878955841064,0.0077270436587623,0.0027987480163574,0.0004003097614527,mean,forgy,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",1.0,0.8823529411764706,0.9353864734299516,1.0,1.0,0.9635478829212843,0.0476905736347203,1,0.984686372330566,0.9845349421820008,0.8741702741702742,0.9547616338605076,0.8668240850059031,0.9329954615098502,0.0522323430877689,concat,600,TimeSeriesKMeans,,
10,125.78337030410766,1.570477528006755,0.9658076286315918,0.0319150390596027,,,,,{'feature_selection': 'chi2'},0.9420383538030596,0.9420383538030596,1.0,1.0,0.8147058823529412,0.939756517991812,0.0676854922002734,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,600,BOSSEnsemble,chi2,
7,30.005567026138305,0.5157749030613292,8.767994165420532,0.3344817943057797,,,,,{'shape_descriptor_function': 'raw'},0.8754901960784314,0.939781446175308,0.9388528138528138,0.9361471861471862,1.0,0.938054328450748,0.0393923713160972,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,600,ShapeDTW,,raw
6,124.62787556648254,1.475894157006992,0.8826014995574951,0.0711805985829511,,,,,{'feature_selection': 'chi2'},0.8848739495798319,0.939781446175308,1.0,0.8147773279352227,0.938259109311741,0.9155383666004208,0.0621784849562215,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,600,BOSSEnsemble,chi2,
2,392.7192306518554,2.844266293364495,2.7005867958068848,0.7807758893780741,,,,,{'feature_selection': 'chi2'},0.9420383538030596,0.8823529411764706,0.9353864734299516,0.8681818181818182,0.938259109311741,0.9132437391806082,0.0314006922838454,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,600,BOSSEnsemble,chi2,
1,119.13020310401916,3.18930968565198,0.6188037872314454,0.0840433620686003,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.8193443385259241,0.7101917690152985,0.6858974358974359,0.7083333333333333,0.8084415584415585,0.74644168704271,0.0558402904235495,1,0.8329696308419712,0.5630294234067819,0.7851545325229536,0.7832463069576472,0.5561346548188654,0.7041069097096438,0.1193616417590588,concat,600,TimeSeriesKMedoids,,
3,61.28609313964844,0.2739701452259094,17.29780168533325,0.617487349955838,,,,,{'shape_descriptor_function': 'raw'},0.6280734516028632,0.6280734516028632,0.6858974358974359,0.6071428571428571,0.4807692307692308,0.60599128540305,0.0678853829615344,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,600,ShapeDTW,,raw
